zip_code,county,population,number_of_clinics,avg_distance_to_clinic_km,healthcare_desert_flag
75131,Denton,6,6,22.48,No
75131,Harris,8,6,14.96,No
75131,Tarrant,4,4,20.3,No
75131,Travis,11,4,2.99,No
75132,Collin,7,0,21.65,Yes
75132,Dallas,13,5,10.95,No
75132,Denton,13,6,10.17,No
75132,Harris,9,6,17.68,No
75132,Tarrant,9,2,8.63,No
75132,Travis,9,8,10.9,No
75133,Collin,12,7,22.75,No
75133,Dallas,5,8,11.68,No
75133,Denton,10,1,1.59,No
75133,Harris,11,9,15.96,No
75133,Tarrant,13,5,22.25,No
75133,Travis,9,5,14.49,No
75134,Collin,15,2,13.79,No
75134,Dallas,12,3,14.75,No
75134,Denton,9,4,10.98,No
75134,Harris,7,8,19.24,No
75134,Tarrant,7,6,17.31,No
75134,Travis,9,4,2.33,No
75135,Collin,10,6,15.96,No
75135,Dallas,11,6,6.6,No
75135,Denton,4,6,21.62,No
75135,Harris,12,6,4.71,No
75135,Tarrant,9,0,4.62,No
75135,Travis,12,0,1.5,No
75136,Collin,6,9,15.31,No
75136,Dallas,9,7,13.34,No
75136,Denton,12,4,17.83,No
75136,Harris,8,6,1.46,No
75136,Tarrant,6,8,9.82,No
75136,Travis,7,6,11.08,No
75137,Collin,8,8,1.23,No
75137,Dallas,7,3,14.43,No
75137,Denton,8,4,2.61,No
75137,Harris,8,1,14.11,No
75137,Tarrant,10,5,17.44,No
75137,Travis,6,8,2.45,No
75138,Collin,6,7,1.13,No
75138,Dallas,5,1,22.83,Yes
75138,Denton,7,8,5.2,No
75138,Harris,6,5,18.51,No
75138,Tarrant,15,2,15.69,No
75138,Travis,10,4,6.38,No
75139,Collin,7,2,4.0,No
75139,Dallas,11,6,13.09,No
75139,Denton,6,9,1.38,No
75139,Harris,11,9,4.44,No
75139,Tarrant,9,5,21.13,No
75139,Travis,8,6,2.77,No
75140,Collin,5,3,24.11,No
75140,Dallas,14,0,11.61,No
75140,Denton,4,7,9.07,No
75140,Harris,8,4,11.99,No
75140,Tarrant,8,4,21.93,No
75140,Travis,10,5,20.21,No
75141,Collin,11,0,7.27,No
75141,Dallas,13,9,8.65,No
75141,Denton,9,7,21.85,No
75141,Harris,12,2,22.94,No
75141,Tarrant,6,0,22.86,Yes
75141,Travis,7,6,17.37,No
75142,Collin,8,6,15.24,No
75142,Dallas,3,7,22.95,No
75142,Denton,7,7,1.96,No
75142,Harris,11,1,23.53,Yes
75142,Tarrant,11,6,19.02,No
75142,Travis,5,5,2.71,No
75143,Collin,6,3,7.75,No
75143,Dallas,13,6,11.15,No
75143,Denton,4,8,3.39,No
75143,Harris,12,2,4.43,No
75143,Tarrant,3,6,11.63,No
75143,Travis,9,2,22.61,No
75144,Collin,9,1,14.78,No
75144,Dallas,6,7,22.41,No
75144,Denton,14,7,17.21,No
75144,Harris,5,9,22.51,No
75144,Tarrant,12,8,6.94,No
75144,Travis,8,4,17.37,No
75145,Collin,5,3,13.84,No
75145,Dallas,7,2,10.75,No
75145,Denton,7,5,6.86,No
75145,Harris,9,4,20.82,No
75145,Tarrant,9,0,15.73,Yes
75145,Travis,10,2,17.55,No
75146,Collin,8,4,19.82,No
75146,Dallas,14,9,7.48,No
75146,Denton,12,0,13.0,No
75146,Harris,7,0,6.54,No
75146,Tarrant,6,8,8.87,No
75146,Travis,9,8,10.55,No
75147,Collin,13,7,8.21,No
75147,Dallas,8,1,19.04,Yes
75147,Denton,6,0,14.55,No
75147,Harris,4,5,13.4,No
75147,Tarrant,8,8,22.66,No
75147,Travis,9,6,17.03,No
75148,Collin,9,9,22.9,No
75148,Dallas,7,2,13.0,No
75148,Denton,7,8,2.61,No
75148,Harris,6,6,20.34,No
75148,Tarrant,16,3,22.26,No
75148,Travis,9,0,22.59,Yes
75149,Collin,15,8,18.86,No
75149,Dallas,9,2,11.06,No
75149,Denton,6,2,3.81,No
75149,Harris,8,8,19.27,No
75149,Tarrant,6,5,10.0,No
75149,Travis,5,1,17.59,Yes
75150,Collin,9,7,4.86,No
75150,Dallas,8,0,15.3,Yes
75150,Denton,12,6,5.77,No
75150,Harris,12,6,22.83,No
75150,Tarrant,9,4,21.41,No
75150,Travis,10,2,8.7,No
75151,Collin,5,5,18.63,No
75151,Dallas,12,6,13.13,No
75151,Denton,12,6,6.59,No
75151,Harris,8,5,9.31,No
75151,Tarrant,6,5,19.64,No
75151,Travis,5,8,11.25,No
75152,Collin,8,3,13.38,No
75152,Dallas,11,0,15.94,Yes
75152,Denton,10,4,5.97,No
75152,Harris,11,6,24.09,No
75152,Tarrant,9,1,11.58,No
75152,Travis,7,2,3.95,No
75153,Collin,12,8,18.21,No
75153,Dallas,6,4,22.1,No
75153,Denton,10,3,6.15,No
75153,Harris,6,9,21.85,No
75153,Tarrant,7,0,3.3,No
75153,Travis,3,6,12.1,No
75154,Collin,7,5,7.19,No
75154,Dallas,7,7,13.3,No
75154,Denton,12,6,8.61,No
75154,Harris,6,0,11.25,No
75154,Tarrant,5,6,10.92,No
75154,Travis,8,1,10.94,No
75155,Collin,9,2,19.72,No
75155,Dallas,8,8,12.67,No
75155,Denton,9,6,10.51,No
75155,Harris,10,7,18.14,No
75155,Tarrant,6,8,11.04,No
75155,Travis,6,0,19.92,Yes
75156,Collin,6,0,11.46,No
75156,Dallas,11,4,22.4,No
75156,Denton,9,6,16.2,No
75156,Harris,10,5,20.77,No
75156,Tarrant,7,2,23.01,No
75156,Travis,6,3,11.18,No
75157,Collin,5,3,22.84,No
75157,Dallas,6,3,11.31,No
75157,Denton,6,9,17.96,No
75157,Harris,7,3,19.19,No
75157,Tarrant,7,6,4.58,No
75157,Travis,11,8,4.67,No
75158,Collin,8,4,18.64,No
75158,Dallas,10,1,10.6,No
75158,Denton,5,7,14.07,No
75158,Harris,5,1,17.33,Yes
75158,Tarrant,11,4,1.93,No
75158,Travis,7,4,5.38,No
75159,Collin,13,0,18.25,Yes
75159,Dallas,7,5,17.33,No
75159,Denton,16,3,24.98,No
75159,Harris,4,5,24.99,No
75159,Tarrant,8,8,16.64,No
75159,Travis,7,3,14.5,No
75160,Collin,6,9,13.82,No
75160,Dallas,10,9,8.83,No
75160,Denton,7,7,24.68,No
75160,Harris,5,9,15.47,No
75160,Tarrant,5,4,15.47,No
75160,Travis,14,3,6.79,No
75161,Collin,15,1,15.63,Yes
75161,Dallas,4,5,3.99,No
75161,Denton,11,8,2.58,No
75161,Harris,9,0,16.65,Yes
75161,Tarrant,10,8,3.73,No
75161,Travis,7,5,23.07,No
75162,Collin,8,5,19.06,No
75162,Dallas,13,0,23.45,Yes
75162,Denton,8,1,13.78,No
75162,Harris,12,7,8.97,No
75162,Tarrant,8,7,20.53,No
75162,Travis,9,2,20.3,No
75163,Collin,3,6,6.13,No
75163,Dallas,7,7,18.28,No
75163,Denton,9,7,24.35,No
75163,Harris,9,9,6.49,No
75163,Tarrant,8,2,22.37,No
75163,Travis,15,0,13.21,No
75164,Collin,4,0,15.1,Yes
75164,Dallas,5,1,14.97,No
75164,Denton,9,6,8.3,No
75164,Harris,7,9,16.2,No
75164,Tarrant,11,1,13.88,No
75164,Travis,8,1,16.22,Yes
75165,Collin,11,3,1.89,No
75165,Dallas,10,0,21.44,Yes
75165,Denton,8,9,19.44,No
75165,Harris,9,5,19.33,No
75165,Tarrant,4,0,16.55,Yes
75165,Travis,13,4,4.84,No
75166,Collin,10,2,20.24,No
75166,Dallas,5,9,17.17,No
75166,Denton,12,3,10.86,No
75166,Harris,11,7,23.38,No
75166,Tarrant,10,2,11.94,No
75166,Travis,6,2,22.22,No
75167,Collin,7,2,10.51,No
75167,Dallas,15,4,19.33,No
75167,Denton,6,9,12.89,No
75167,Harris,6,9,11.03,No
75167,Tarrant,10,9,10.16,No
75167,Travis,8,8,7.69,No
75168,Collin,7,2,16.15,No
75168,Dallas,13,2,6.21,No
75168,Denton,2,8,24.48,No
75168,Harris,4,8,23.35,No
75168,Tarrant,5,6,12.83,No
75168,Travis,11,9,13.38,No
75169,Collin,18,3,24.46,No
75169,Dallas,6,2,8.57,No
75169,Denton,4,6,10.18,No
75169,Harris,11,0,1.04,No
75169,Tarrant,12,1,17.76,Yes
75169,Travis,8,2,22.42,No
75170,Collin,7,7,14.36,No
75170,Dallas,11,0,21.52,Yes
75170,Denton,5,7,19.33,No
75170,Harris,7,0,10.73,No
75170,Tarrant,8,6,18.17,No
75170,Travis,8,3,17.42,No
75171,Collin,8,4,4.09,No
75171,Dallas,9,9,12.36,No
75171,Denton,9,2,21.72,No
75171,Harris,9,8,19.8,No
75171,Tarrant,4,4,5.34,No
75171,Travis,8,7,10.45,No
75172,Collin,7,3,21.48,No
75172,Dallas,5,8,23.01,No
75172,Denton,10,8,15.23,No
75172,Harris,10,8,20.08,No
75172,Tarrant,8,2,16.41,No
75172,Travis,3,1,7.53,No
75173,Collin,4,4,3.39,No
75173,Dallas,9,6,12.36,No
75173,Denton,10,7,22.7,No
75173,Harris,10,9,16.77,No
75173,Tarrant,15,1,19.27,Yes
75173,Travis,8,0,23.5,Yes
75174,Collin,14,4,18.0,No
75174,Dallas,16,7,6.89,No
75174,Denton,8,2,6.07,No
75174,Harris,10,6,13.8,No
75174,Tarrant,16,7,12.24,No
75174,Travis,11,9,9.97,No
75175,Collin,4,3,13.55,No
75175,Dallas,7,8,22.9,No
75175,Denton,8,0,18.9,Yes
75175,Harris,9,2,12.32,No
75175,Tarrant,7,4,21.03,No
75175,Travis,10,4,1.03,No
75176,Collin,10,0,23.12,Yes
75176,Dallas,11,5,8.51,No
75176,Denton,9,3,23.37,No
75176,Harris,6,5,8.83,No
75176,Tarrant,7,5,19.79,No
75176,Travis,12,7,4.73,No
75177,Collin,7,6,18.72,No
75177,Dallas,11,2,13.97,No
75177,Denton,9,8,15.34,No
75177,Harris,8,6,8.82,No
75177,Tarrant,11,3,4.8,No
75177,Travis,10,8,10.95,No
75178,Collin,5,3,6.45,No
75178,Dallas,10,0,12.66,No
75178,Denton,10,5,14.87,No
75178,Harris,8,1,16.86,Yes
75178,Tarrant,7,7,22.06,No
75178,Travis,4,3,7.57,No
75179,Collin,4,0,2.06,No
75179,Dallas,9,4,16.4,No
75179,Denton,9,8,14.83,No
75179,Harris,8,1,13.13,No
75179,Tarrant,9,8,22.02,No
75179,Travis,5,1,3.83,No
75180,Collin,5,1,13.2,No
75180,Dallas,3,6,20.75,No
75180,Denton,7,7,12.83,No
75180,Harris,4,4,5.05,No
75180,Tarrant,9,2,16.64,No
75180,Travis,10,0,8.44,No
75181,Collin,6,2,11.9,No
75181,Dallas,9,2,14.34,No
75181,Denton,4,6,12.39,No
75181,Harris,7,2,5.42,No
75181,Tarrant,7,7,8.53,No
75181,Travis,8,4,16.85,No
75182,Collin,8,5,21.47,No
75182,Dallas,8,3,1.04,No
75182,Denton,5,9,19.67,No
75182,Harris,8,4,16.37,No
75182,Tarrant,11,8,4.67,No
75182,Travis,5,2,14.59,No
75183,Collin,9,5,21.2,No
75183,Dallas,5,2,21.06,No
75183,Denton,7,1,22.74,Yes
75183,Harris,8,1,7.38,No
75183,Tarrant,15,8,6.94,No
75183,Travis,9,3,20.84,No
75184,Collin,8,0,7.01,No
75184,Dallas,3,7,9.48,No
75184,Denton,5,4,18.3,No
75184,Harris,8,4,3.16,No
75184,Tarrant,10,6,9.03,No
75184,Travis,8,5,6.27,No
75185,Collin,5,2,12.18,No
75185,Dallas,7,2,14.79,No
75185,Denton,11,0,15.45,Yes
75185,Harris,7,5,7.89,No
75185,Tarrant,7,0,1.55,No
75185,Travis,7,7,10.13,No
75186,Collin,9,5,8.64,No
75186,Dallas,8,9,9.67,No
75186,Denton,7,4,11.38,No
75186,Harris,9,4,20.99,No
75186,Tarrant,8,1,17.04,Yes
75186,Travis,2,6,1.03,No
75187,Collin,9,0,19.47,Yes
75187,Dallas,5,5,11.26,No
75187,Denton,5,9,18.19,No
75187,Harris,13,1,14.69,No
75187,Tarrant,5,3,5.75,No
75187,Travis,7,7,4.34,No
75188,Collin,10,7,21.8,No
75188,Dallas,8,0,15.54,Yes
75188,Denton,7,9,9.21,No
75188,Harris,9,9,11.69,No
75188,Tarrant,10,5,5.03,No
75188,Travis,8,0,23.53,Yes
75189,Collin,10,2,9.46,No
75189,Dallas,6,0,4.84,No
75189,Denton,8,7,20.73,No
75189,Harris,8,2,14.71,No
75189,Tarrant,7,3,18.68,No
75189,Travis,5,1,22.54,Yes
75190,Collin,5,0,23.64,Yes
75190,Dallas,7,6,6.66,No
75190,Denton,9,2,21.29,No
75190,Harris,8,3,7.75,No
75190,Tarrant,11,7,4.77,No
75190,Travis,9,6,20.68,No
75191,Collin,7,8,4.18,No
75191,Dallas,6,4,16.97,No
75191,Denton,7,7,21.92,No
75191,Harris,4,4,24.68,No
75191,Tarrant,8,8,8.87,No
75191,Travis,9,1,13.65,No
75192,Collin,11,5,7.61,No
75192,Dallas,7,5,16.02,No
75192,Denton,7,7,13.85,No
75192,Harris,9,9,10.73,No
75192,Tarrant,5,5,19.04,No
75192,Travis,8,6,14.27,No
75193,Collin,10,2,17.4,No
75193,Dallas,5,3,10.24,No
75193,Denton,4,3,20.95,No
75193,Harris,8,6,7.52,No
75193,Tarrant,7,3,14.64,No
75193,Travis,14,6,8.0,No
75194,Collin,12,4,2.71,No
75194,Dallas,9,9,23.8,No
75194,Denton,8,2,16.69,No
75194,Harris,7,9,1.86,No
75194,Tarrant,13,1,18.03,Yes
75194,Travis,6,4,13.59,No
75195,Collin,10,9,13.49,No
75195,Dallas,9,8,6.25,No
75195,Denton,8,8,2.18,No
75195,Harris,11,9,13.71,No
75195,Tarrant,4,9,9.08,No
75195,Travis,8,6,14.11,No
75196,Collin,7,2,24.34,No
75196,Dallas,9,9,5.15,No
75196,Denton,7,3,16.73,No
75196,Harris,12,9,14.28,No
75196,Tarrant,10,1,5.65,No
75196,Travis,12,4,20.03,No
75197,Collin,7,7,2.01,No
75197,Dallas,6,1,21.84,Yes
75197,Denton,5,5,13.52,No
75197,Harris,7,9,7.09,No
75197,Tarrant,6,6,16.57,No
75197,Travis,7,1,4.66,No
75198,Collin,6,2,5.11,No
75198,Dallas,4,1,18.73,Yes
75198,Denton,8,5,9.0,No
75198,Harris,7,7,17.03,No
75198,Tarrant,7,4,1.35,No
75198,Travis,11,2,1.6,No
75199,Collin,7,9,19.29,No
75199,Dallas,6,9,5.89,No
75199,Denton,8,5,15.96,No
75199,Harris,7,1,9.27,No
75199,Tarrant,8,9,16.86,No
75199,Travis,4,6,9.39,No
75200,Collin,11,1,13.84,No
75200,Dallas,7,4,2.82,No
75200,Denton,8,6,14.81,No
75200,Harris,14,1,23.41,Yes
75200,Tarrant,7,4,7.74,No
75200,Travis,10,1,23.72,Yes
75201,Collin,13,1,22.86,Yes
75201,Dallas,8,7,14.35,No
75201,Denton,11,4,18.93,No
75201,Harris,7,9,8.17,No
75201,Tarrant,8,8,20.98,No
75201,Travis,10,7,1.75,No
75202,Collin,8,1,24.42,Yes
75202,Dallas,7,1,11.36,No
75202,Denton,4,8,21.36,No
75202,Harris,14,2,21.61,No
75202,Tarrant,8,0,6.82,No
75202,Travis,6,4,12.61,No
75203,Collin,7,3,3.58,No
75203,Dallas,14,0,16.1,Yes
75203,Denton,6,3,14.9,No
75203,Harris,7,2,9.89,No
75203,Tarrant,5,1,22.48,Yes
75203,Travis,7,7,22.98,No
75204,Collin,6,6,15.18,No
75204,Dallas,11,9,20.48,No
75204,Denton,9,3,9.22,No
75204,Harris,8,0,18.11,Yes
75204,Tarrant,4,3,4.06,No
75204,Travis,8,6,15.08,No
75205,Collin,9,6,5.37,No
75205,Dallas,11,0,13.2,No
75205,Denton,12,5,16.38,No
75205,Harris,7,5,20.05,No
75205,Tarrant,14,4,1.95,No
75205,Travis,10,4,17.61,No
75206,Collin,9,6,12.41,No
75206,Dallas,10,8,13.9,No
75206,Denton,11,4,14.06,No
75206,Harris,6,7,8.8,No
75206,Tarrant,8,7,18.02,No
75206,Travis,5,7,22.92,No
75207,Collin,6,7,21.38,No
75207,Dallas,8,9,4.23,No
75207,Denton,10,4,4.03,No
75207,Harris,3,4,23.79,No
75207,Tarrant,9,6,10.77,No
75207,Travis,7,5,20.68,No
75208,Collin,10,8,21.85,No
75208,Dallas,12,2,21.61,No
75208,Denton,8,7,7.82,No
75208,Harris,12,6,6.32,No
75208,Tarrant,6,3,8.96,No
75208,Travis,13,6,2.41,No
75209,Collin,13,6,16.1,No
75209,Dallas,9,6,9.65,No
75209,Denton,9,6,4.16,No
75209,Harris,4,6,5.12,No
75209,Tarrant,6,2,2.86,No
75209,Travis,10,1,8.63,No
75210,Collin,8,2,16.0,No
75210,Dallas,7,6,17.5,No
75210,Denton,9,5,10.42,No
75210,Harris,7,7,20.38,No
75210,Tarrant,9,9,19.08,No
75210,Travis,8,9,20.8,No
75211,Collin,7,9,24.73,No
75211,Dallas,9,4,10.15,No
75211,Denton,10,6,13.11,No
75211,Harris,9,3,23.95,No
75211,Tarrant,6,1,12.61,No
75211,Travis,8,9,14.85,No
75212,Collin,9,7,7.32,No
75212,Dallas,11,7,23.77,No
75212,Denton,8,1,9.88,No
75212,Harris,7,8,1.42,No
75212,Tarrant,10,7,13.83,No
75212,Travis,7,3,5.38,No
75213,Collin,11,4,21.84,No
75213,Dallas,7,5,7.55,No
75213,Denton,9,4,13.75,No
75213,Harris,8,0,12.18,No
75213,Tarrant,11,4,9.78,No
75213,Travis,14,6,10.76,No
75214,Collin,9,1,24.29,Yes
75214,Dallas,11,3,4.89,No
75214,Denton,9,8,21.5,No
75214,Harris,10,8,13.78,No
75214,Tarrant,7,4,9.47,No
75214,Travis,7,0,17.25,Yes
75215,Collin,6,4,16.69,No
75215,Dallas,9,0,11.97,No
75215,Denton,6,7,22.81,No
75215,Harris,8,8,13.2,No
75215,Tarrant,11,9,16.98,No
75215,Travis,11,4,6.07,No
75216,Collin,15,5,10.94,No
75216,Dallas,7,4,19.59,No
75216,Denton,3,3,15.89,No
75216,Harris,4,8,17.96,No
75216,Tarrant,8,8,10.12,No
75216,Travis,11,1,23.4,Yes
75217,Collin,5,7,22.74,No
75217,Dallas,9,8,22.13,No
75217,Denton,9,3,12.82,No
75217,Harris,12,7,22.88,No
75217,Tarrant,8,7,17.21,No
75217,Travis,13,8,5.0,No
75218,Collin,7,7,20.47,No
75218,Dallas,10,8,8.73,No
75218,Denton,10,9,1.92,No
75218,Harris,11,8,17.77,No
75218,Tarrant,4,4,21.23,No
75218,Travis,12,0,9.37,No
75219,Collin,4,4,20.46,No
75219,Dallas,6,5,13.72,No
75219,Denton,9,0,1.83,No
75219,Harris,13,1,9.78,No
75219,Tarrant,8,6,1.05,No
75219,Travis,13,7,19.82,No
75220,Collin,11,0,10.13,No
75220,Dallas,9,3,10.82,No
75220,Denton,8,6,19.7,No
75220,Harris,2,3,9.65,No
75220,Tarrant,5,9,12.53,No
75220,Travis,12,2,21.69,No
75221,Collin,8,7,21.93,No
75221,Dallas,12,7,15.4,No
75221,Denton,11,2,6.65,No
75221,Harris,13,7,20.36,No
75221,Tarrant,4,7,24.17,No
75221,Travis,6,8,11.55,No
75222,Collin,10,6,12.38,No
75222,Dallas,11,8,2.3,No
75222,Denton,10,3,16.77,No
75222,Harris,13,3,11.19,No
75222,Tarrant,13,4,1.22,No
75222,Travis,4,2,1.44,No
75223,Collin,9,4,24.64,No
75223,Dallas,9,1,6.6,No
75223,Denton,5,7,5.37,No
75223,Harris,10,4,7.29,No
75223,Tarrant,9,3,19.22,No
75223,Travis,9,7,24.25,No
75224,Collin,7,9,23.27,No
75224,Dallas,3,4,16.8,No
75224,Denton,8,2,9.44,No
75224,Harris,5,4,21.04,No
75224,Tarrant,5,4,20.19,No
75224,Travis,11,7,8.82,No
75225,Collin,10,2,3.2,No
75225,Dallas,7,6,6.74,No
75225,Denton,14,9,9.46,No
75225,Harris,7,6,14.01,No
75225,Tarrant,10,4,3.88,No
75225,Travis,6,8,6.15,No
75226,Collin,5,2,12.91,No
75226,Dallas,6,6,14.46,No
75226,Denton,5,8,16.23,No
75226,Harris,7,5,14.76,No
75226,Tarrant,5,4,20.03,No
75226,Travis,10,8,4.56,No
75227,Collin,8,1,13.07,No
75227,Dallas,14,1,15.94,Yes
75227,Denton,3,0,9.19,No
75227,Harris,11,6,18.07,No
75227,Tarrant,7,2,1.01,No
75227,Travis,13,6,2.11,No
75228,Collin,12,8,10.53,No
75228,Dallas,10,5,1.81,No
75228,Denton,6,1,22.1,Yes
75228,Harris,5,9,4.63,No
75228,Tarrant,11,3,23.87,No
75228,Travis,2,6,15.64,No
75229,Collin,12,0,12.67,No
75229,Dallas,8,8,14.3,No
75229,Denton,11,9,6.38,No
75229,Harris,5,9,1.48,No
75229,Tarrant,5,1,7.11,No
75229,Travis,9,4,3.37,No
75230,Collin,6,8,21.85,No
75230,Dallas,6,7,3.12,No
75230,Denton,12,4,12.34,No
75230,Harris,5,3,22.79,No
75230,Tarrant,9,5,1.76,No
75230,Travis,7,0,10.64,No
75231,Collin,7,2,22.78,No
75231,Dallas,8,4,21.43,No
75231,Denton,13,5,7.05,No
75231,Harris,8,5,14.97,No
75231,Tarrant,9,2,8.08,No
75231,Travis,15,0,18.08,Yes
75232,Collin,8,8,22.55,No
75232,Dallas,7,4,9.02,No
75232,Denton,14,4,11.46,No
75232,Harris,9,9,4.59,No
75232,Tarrant,6,7,16.34,No
75232,Travis,10,3,7.53,No
75233,Collin,8,9,15.06,No
75233,Dallas,12,1,16.02,Yes
75233,Denton,6,3,8.81,No
75233,Harris,7,6,23.31,No
75233,Tarrant,10,0,7.1,No
75233,Travis,7,6,5.66,No
75234,Collin,7,6,16.6,No
75234,Dallas,6,6,17.99,No
75234,Denton,9,6,10.82,No
75234,Harris,5,7,15.9,No
75234,Tarrant,4,9,17.98,No
75234,Travis,13,9,7.52,No
75235,Collin,10,3,3.63,No
75235,Dallas,7,2,23.42,No
75235,Denton,8,9,5.84,No
75235,Harris,4,5,5.94,No
75235,Tarrant,15,7,14.81,No
75235,Travis,7,3,14.7,No
75236,Collin,7,3,5.34,No
75236,Dallas,4,5,12.06,No
75236,Denton,8,3,3.16,No
75236,Harris,8,8,8.17,No
75236,Tarrant,8,8,7.69,No
75236,Travis,9,8,23.41,No
75237,Collin,11,4,4.78,No
75237,Dallas,16,6,8.83,No
75237,Denton,7,3,10.02,No
75237,Harris,9,9,10.21,No
75237,Tarrant,10,5,6.6,No
75237,Travis,4,2,16.92,No
75238,Collin,11,9,13.09,No
75238,Dallas,8,5,19.45,No
75238,Denton,9,0,9.51,No
75238,Harris,7,4,16.44,No
75238,Tarrant,9,6,10.85,No
75238,Travis,9,2,16.33,No
75239,Collin,9,2,18.92,No
75239,Dallas,8,0,23.91,Yes
75239,Denton,7,6,25.0,No
75239,Harris,7,1,7.14,No
75239,Tarrant,10,1,7.81,No
75239,Travis,7,1,19.41,Yes
75240,Collin,12,7,22.57,No
75240,Dallas,7,7,24.79,No
75240,Denton,6,0,11.48,No
75240,Harris,10,9,17.89,No
75240,Tarrant,6,3,12.87,No
75240,Travis,10,5,2.3,No
75241,Collin,5,1,7.34,No
75241,Dallas,8,1,10.41,No
75241,Denton,9,9,17.23,No
75241,Harris,11,4,3.4,No
75241,Tarrant,10,2,6.04,No
75241,Travis,5,6,14.36,No
75242,Collin,6,4,15.45,No
75242,Dallas,5,3,5.19,No
75242,Denton,5,9,5.24,No
75242,Harris,14,8,1.01,No
75242,Tarrant,8,9,11.25,No
75242,Travis,7,7,13.23,No
75243,Collin,7,6,4.91,No
75243,Dallas,9,7,9.03,No
75243,Denton,7,4,18.11,No
75243,Harris,10,4,10.32,No
75243,Tarrant,6,5,2.98,No
75243,Travis,7,2,11.18,No
75244,Collin,5,3,22.02,No
75244,Dallas,7,0,12.2,No
75244,Denton,4,9,10.67,No
75244,Harris,9,7,13.57,No
75244,Tarrant,12,1,4.48,No
75244,Travis,6,9,11.98,No
75245,Collin,9,9,1.1,No
75245,Dallas,8,3,24.04,No
75245,Denton,6,6,1.54,No
75245,Harris,10,8,22.48,No
75245,Tarrant,4,4,2.89,No
75245,Travis,9,9,16.29,No
75246,Collin,7,8,6.48,No
75246,Dallas,11,6,10.66,No
75246,Denton,10,2,12.63,No
75246,Harris,5,6,21.04,No
75246,Tarrant,7,3,10.01,No
75246,Travis,8,1,14.58,No
75247,Collin,3,7,10.99,No
75247,Dallas,2,2,14.41,No
75247,Denton,7,5,5.03,No
75247,Harris,11,3,4.57,No
75247,Tarrant,10,9,15.17,No
75247,Travis,11,3,17.61,No
75248,Collin,5,5,16.78,No
75248,Dallas,7,5,18.79,No
75248,Denton,3,9,13.48,No
75248,Harris,6,0,12.26,No
75248,Tarrant,8,8,15.26,No
75248,Travis,12,6,16.18,No
75249,Collin,13,1,1.64,No
75249,Dallas,8,7,4.18,No
75249,Denton,8,5,8.34,No
75249,Harris,8,3,6.29,No
75249,Tarrant,10,8,18.29,No
75249,Travis,6,5,7.71,No
75250,Collin,8,0,12.97,No
75250,Dallas,13,8,21.62,No
75250,Denton,7,6,23.53,No
75250,Harris,5,7,17.32,No
75250,Tarrant,10,3,9.44,No
75250,Travis,8,4,18.36,No
75251,Collin,12,4,12.11,No
75251,Dallas,11,2,21.62,No
75251,Denton,11,7,23.37,No
75251,Harris,3,2,15.84,No
75251,Tarrant,7,7,4.13,No
75251,Travis,8,8,11.39,No
75252,Collin,5,5,17.78,No
75252,Dallas,6,6,4.74,No
75252,Denton,6,2,23.84,No
75252,Harris,11,4,13.51,No
75252,Tarrant,8,4,11.06,No
75252,Travis,10,6,5.23,No
75253,Collin,6,9,3.02,No
75253,Dallas,6,4,24.76,No
75253,Denton,11,3,12.98,No
75253,Harris,10,0,6.49,No
75253,Tarrant,6,4,13.34,No
75253,Travis,10,9,5.06,No
75254,Collin,6,9,1.38,No
75254,Dallas,5,1,12.45,No
75254,Denton,4,0,2.24,No
75254,Harris,7,7,9.54,No
75254,Tarrant,7,5,4.65,No
75254,Travis,6,9,18.26,No
75255,Collin,4,7,22.72,No
75255,Dallas,7,0,18.02,Yes
75255,Denton,13,3,4.74,No
75255,Harris,11,7,7.68,No
75255,Tarrant,5,5,1.71,No
75255,Travis,12,3,16.51,No
75256,Collin,9,2,24.62,No
75256,Dallas,8,8,21.55,No
75256,Denton,11,0,10.02,No
75256,Harris,5,5,15.65,No
75256,Tarrant,11,7,19.45,No
75256,Travis,10,5,16.03,No
75257,Collin,8,3,19.22,No
75257,Dallas,9,1,2.19,No
75257,Denton,4,2,8.56,No
75257,Harris,6,0,9.34,No
75257,Tarrant,3,9,15.52,No
75257,Travis,6,8,23.25,No
75258,Collin,15,4,2.69,No
75258,Dallas,9,1,15.1,Yes
75258,Denton,4,6,15.97,No
75258,Harris,7,2,23.09,No
75258,Tarrant,12,1,23.75,Yes
75258,Travis,6,0,4.1,No
75259,Collin,12,8,12.93,No
75259,Dallas,10,8,2.12,No
75259,Denton,7,1,24.46,Yes
75259,Harris,15,5,24.24,No
75259,Tarrant,6,3,7.22,No
75259,Travis,11,4,17.71,No
75260,Collin,3,2,19.03,No
75260,Dallas,5,0,21.33,Yes
75260,Denton,5,5,7.42,No
75260,Harris,11,1,16.55,Yes
75260,Tarrant,5,9,13.26,No
75260,Travis,5,3,1.52,No
75261,Collin,7,6,8.72,No
75261,Dallas,6,8,10.41,No
75261,Denton,7,9,14.23,No
75261,Harris,9,2,16.23,No
75261,Tarrant,5,4,5.14,No
75261,Travis,8,2,16.47,No
75262,Collin,7,0,8.63,No
75262,Dallas,11,6,13.61,No
75262,Denton,12,6,7.36,No
75262,Harris,10,9,14.98,No
75262,Tarrant,6,5,3.53,No
75262,Travis,12,6,13.17,No
